sentiment,review
positive,This movie was fantastic! The acting and plot were brilliant.
negative,The movie was too long and incredibly boring.
positive,Loved the visuals and the soundtrack. Highly recommend it.
negative,The acting was terrible and the story made no sense.
positive,An absolute masterpiece with breathtaking performances.
negative,Poorly directed and the dialogues were cringeworthy.
positive,The film was inspiring and left me feeling uplifted.
negative,Predictable storyline and weak character development.
positive,"Excellent pacing, great humor, and wonderful acting."
negative,The special effects were outdated and ruined the experience.
